Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Smiles,pChEMBL Value
CHEMBL243215,332.3,0,2.69,NS(=O)(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1O,6.46
CHEMBL244075,304.28,0,3.58,N#C/N=C(\N)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,6.08
CHEMBL206967,345.35,0,2.6,CNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CO)c1ccccc1,6.04
CHEMBL427676,440.52,0,0.77,CC1=C(C(=O)OCCOCCOCCOCCO)C(c2cccc(O)c2)NC(=S)N1,4.64
CHEMBL240050,339.25,None,None,CCOC(=O)C1=C(C)NC(=[Se])NC1c1cccc(O)c1,4.94
CHEMBL601305,334.42,0,4.07,CCC(=O)N1CCc2c([nH]c3ccc(C)cc23)C1c1cccc(O)c1,6.34
CHEMBL232258,449.49,0,4.88,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@]1(CCCNCC(F)F)c1ccccc1,7.92
CHEMBL389082,413.51,0,4.63,CCNCCC[C@@]1(c2ccccc2)C=C(c2cc(F)ccc2F)CN1C(=O)N(C)C,7.99
CHEMBL1078572,351.34,1,5.48,Fc1cc(C(F)(F)F)cc2c1N[C@@H](c1ccccc1)[C@@H]1CCCO[C@H]21,7.05
CHEMBL589393,333.44,0,3.3,Cc1ccc2[nH]c3c(c2c1)CCN(C(=O)CCN)C3c1ccccc1,6.76
CHEMBL589153,447.94,0,2.94,CS(=O)(=O)NCCC(=O)N1CCc2c([nH]c3ccc(Cl)cc23)C1c1cccc(O)c1,6.81
CHEMBL594459,403.53,0,4,Cc1ccc2[nH]c3c(c2c1)CCN(C(=O)C1CCCN(C)C1)C3c1cccc(O)c1,6.05
CHEMBL604670,351.41,0,2.4,NCCC(=O)N1CCc2c([nH]c3ccc(O)cc23)C1c1cccc(O)c1,5.35
CHEMBL232133,431.48,1,5.14,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(C(F)(F)F)cc1)C(=O)O,6.93
CHEMBL412132,442.38,0,4.89,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Br)cc1)C(=O)O,7.57
CHEMBL259257,329.47,0,3.73,CC(C)C(SC[C@H](N)C(=O)O)(c1ccccc1)c1ccccc1,5.94
CHEMBL1078873,336.48,1,5.2,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccc(N)c1)N2,5.64
CHEMBL242181,328.3,0,2.29,NS(=O)(=O)Nc1ccc(-c2ccc3c(c2)OC(F)(F)O3)cc1,7.51
CHEMBL239414,468.55,0,3.76,CC(=O)N1CCN(CCC[C@@]2(c3ccccc3)CC(c3cc(F)ccc3F)=NN2C(C)=O)CC1,8.55
CHEMBL240705,429.51,0,4.18,COCCN(C)CCC[C@@]1(c2ccccc2)CC(c2cc(F)ccc2F)=NN1C(C)=O,8.7
CHEMBL240498,415.46,0,4.25,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1CC(F)C1)c1ccccc1,8.74
CHEMBL378389,308.43,0,3.93,Cc1ccc2c(c1C)CN(C(=O)N(C)C)CC2c1ccccc1,5.56
CHEMBL204371,279.38,0,3.8,CC(=O)N1Cc2c(ccc(C)c2C)C(c2ccccc2)C1,4.75
CHEMBL392369,393.51,0,4.13,COc1ccc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)cc1,6.57
CHEMBL591332,320.39,0,3.68,CC(=O)N1CCc2c([nH]c3ccc(C)cc23)C1c1cccc(O)c1,6.7
CHEMBL1173640,181.24,0,3.63,Cc1ccc2c(c1)[nH]c1ccccc12,4.66
CHEMBL444714,181.24,0,3.63,Cc1cccc2c1[nH]c1ccccc12,4.64
CHEMBL1172899,221.3,0,4.2,c1ccc2c(c1)[nH]c1cc3c(cc12)CCCC3,4.6
CHEMBL1163525,406.31,0,3.35,CC(N)C(=O)N1CCc2c([nH]c3ccc(Cl)cc23)C1c1cccc(O)c1.Cl,6.32
CHEMBL1164860,364.4,0,3.21,CCC(=O)N1C(C(=O)O)Cc2c([nH]c3ccccc23)C1c1cccc(O)c1,6.93
CHEMBL251142,478.57,0,3.23,CC(=O)C1=NN2c3cc(F)ccc3OC[C@H]2[C@@]1(CCCN1CCC(=O)N(C)CC1)c1ccccc1,9.05
CHEMBL1688925,439.58,1,5.79,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1)C(=O)O,5.71
CHEMBL1688926,419.59,1,5.42,CC(C)(C)c1ccc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)cc1,5.91
CHEMBL1078894,339.45,1,5.76,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(F)cc1)N2,6.57
CHEMBL1093087,481.56,1,6.17,NCCN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)c1ccccc1,7.72
CHEMBL2031570,485.58,0,4.91,Cc1ccsc1CCN1C(=S)N(c2ccc(F)cc2)C(=O)C1CC(=O)Nc1ccc(F)cc1,6.22
CHEMBL594458,417.55,0,4.53,Cc1ccc2[nH]c3c(c2c1)CCN(C(=O)CCN1CCCCC1)C3c1cccc(O)c1,7
CHEMBL591331,351.43,0,3.44,Cc1ccc2[nH]c3c(c2c1)CCN(C(=O)CCN)C3c1cccc(F)c1,7
CHEMBL2043416,402.39,1,6.17,NCCSC(Cc1ccccc1)(c1ccc(Cl)cc1)c1cccc(Cl)c1,6.36
CHEMBL1170845,239.32,0,4.5,CC(C)(C)Oc1ccc2c(c1)[nH]c1ccccc12,5.5
CHEMBL1171078,267.33,0,4.32,CC(C)(C)c1ccc2c(c1)[nH]c1ccc(C(=O)O)cc12,4.96
CHEMBL1170621,223.32,0,4.62,CC(C)(C)c1ccc2[nH]c3ccccc3c2c1,6.62
CHEMBL243669,334.29,0,3.13,NS(=O)(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1F,8.3
CHEMBL394512,281.23,0,3.83,NC(=O)Oc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,6.14
CHEMBL243701,315.32,0,3.16,NS(=O)(=O)Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,6.93
CHEMBL244264,238.21,0,4.08,Oc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,6.16
CHEMBL228370,362.52,0,4.42,CCN(CC)C(=O)c1c(NC(=O)c2ccsc2)sc2c1CCCC2,4.89
CHEMBL229022,376.55,0,4.67,CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2c1CCC(C)C2,5.23
CHEMBL1938593,410.97,1,5.14,OC(CNCCc1ccccc1)CN1c2ccccc2Sc2ccc(Cl)cc21,5.82
CHEMBL194980,316.38,0,4.46,CC(=S)N1N=C(c2cc(F)ccc2F)CC1c1ccccc1,6.6
CHEMBL204459,354.4,0,3.67,N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CC1,8.7
CHEMBL203045,356.42,0,3.92,CC(C)(CN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,8.28
CHEMBL426141,738.92,2,7.88,CC1(C)CCC[C@]2(C)O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC[C@]4(C)c6c(OS(=O)(=O)[O-])ccc(OS(=O)(=O)[O-])c6C[C@@H]54)[C@]3(C)CC[C@@H]12.[Na+].[Na+],4.86
CHEMBL399378,433.55,0,3.57,CC(=O)C1=NN2c3cc(C)ccc3OC[C@H]2[C@@]1(CCCN1CCOCC1)c1ccccc1,9
CHEMBL1829249,509.08,2,5.41,CCC(c1nc2ccsc2c(=O)n1Cc1ccc(Cl)cc1)N(CCCN)C(=O)c1ccc(C)cc1,6.68
CHEMBL1829265,440.61,0,4.33,CCCCC(=O)N(CCCN)C(CC)c1nc2ccsc2c(=O)n1Cc1ccccc1,5.26
CHEMBL1688932,369.51,0,4.19,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1cccs1)C(=O)O,4.38
CHEMBL426857,326.4,0,3.03,COc1cccc2c1CN(C(=O)N(C)C)CC2c1cccc(O)c1,5.75
CHEMBL210672,428.53,0,4.73,CCNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CCCCN(C)C)c1ccccc1,6.99
CHEMBL207006,386.45,0,3.74,CCNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CCCN)c1ccccc1,7.36
CHEMBL435929,360.5,0,4.18,O=C(Nc1sc2c(c1C(=O)N1CCCC1)CCCC2)c1cccs1,5.41
CHEMBL1171435,195.26,0,3.88,CCc1ccc2c(c1)[nH]c1ccccc12,5.55
CHEMBL1172392,195.22,0,3.13,O=Cc1ccc2[nH]c3ccccc3c2c1,4.77
CHEMBL1170284,217.22,0,4.26,FC(F)c1ccc2c(c1)[nH]c1ccccc12,6.06
CHEMBL1172395,195.22,0,3.13,O=Cc1ccc2c(c1)[nH]c1ccccc12,4.89
CHEMBL522806,338.43,0,3.41,CC1=C(C(=O)c2ccccc2)[C@@H](c2cccc(O)c2)NC(=S)N1C,6.82
CHEMBL590607,335.41,0,2.7,NCCC(=O)N1CCc2c([nH]c3ccccc23)C1c1cccc(O)c1,6.2
CHEMBL235974,352.41,0,0.74,CC1=C(C(=O)OCCOCCO)C(c2cccc(O)c2)NC(=S)N1,4.68
CHEMBL1829424,474.63,0,4.76,CCC(c1nc2sccc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1,5.72
CHEMBL400042,375.39,0,3.5,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(C[C@H](F)CN)c1ccccc1,9.09
CHEMBL1277294,415.41,0,4.47,CC1=C(C(=O)Nc2ccc([N+](=O)[O-])cc2)C(c2ccco2)n2c(nc3ccccc32)N1,4.68
CHEMBL1163743,368.48,1,5.33,Cc1ccc2[nH]c3c(c2c1)CCN(Cc1ccccc1)C3c1cccc(O)c1,4.91
CHEMBL236179,410.52,0,2.02,CC(=O)SCCOCCOC(=O)C1=C(C)NC(=S)NC1c1cccc(O)c1,5.35
CHEMBL1092159,307.44,1,5.44,CC(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,6.89
CHEMBL1078691,337.46,1,5.32,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)cc1)N2,7.47
CHEMBL1077204,476.54,0,4.57,CN(C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,8.1
CHEMBL1829402,528.6,2,5.47,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C(F)(F)F)cc1,6.68
CHEMBL1829428,469.59,0,4.09,CCC(c1nc2ncccc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1,6.49
CHEMBL1829415,480.66,0,4.82,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1sccc1C,6.39
CHEMBL3645250,589.63,1,4.44,COC(C)(C)[C@H](c1nc(-c2cc(F)ccc2F)nn1Cc1cccc(F)c1)N(C[C@@H]1CNC[C@@H]1F)C(=O)[C@@H]1CCCO1,9.05
CHEMBL236181,368.48,0,1.67,CC1=C(C(=O)OCCOCCS)C(c2cccc(O)c2)NC(=S)N1,5.4
CHEMBL240050,339.25,None,None,CCOC(=O)C1=C(C)NC(=[Se])NC1c1cccc(O)c1,4.64
CHEMBL242182,320.37,0,2.48,CC1(C)Oc2ccc(-c3ccc(NS(N)(=O)=O)cc3)cc2O1,6.32
CHEMBL244690,280.25,0,3.86,NC(=O)Nc1ccc(-c2cccc(C(F)(F)F)c2)cc1,5.14
CHEMBL242150,281.76,0,3.38,CS(=O)(=O)Nc1ccc(-c2ccc(Cl)cc2)cc1,5.7
CHEMBL241936,352.28,0,3.27,NS(=O)(=O)Nc1c(F)cc(-c2ccc(C(F)(F)F)cc2)cc1F,6.3
CHEMBL243681,341.31,0,2.86,N#Cc1cc(-c2ccc(C(F)(F)F)cc2)ccc1NS(N)(=O)=O,6.71
CHEMBL242141,329.34,0,4.13,CCS(=O)(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,5.6
CHEMBL207867,251.37,0,3.88,Cc1ccc2c(c1C)CN(C)CC2c1ccccc1,4.74
CHEMBL2043404,351.49,1,5,NCCSC(Cc1ccccc1)(c1ccccc1)c1ccccc1F,6.1
CHEMBL195659,376.84,1,5.04,O=C(c1ccccc1)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1,4.87
CHEMBL381533,344.36,0,3.79,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,8.15
CHEMBL400633,407.54,0,4.22,COC(=O)[C@@H](N)CSC(c1ccccc1)(c1ccccc1)c1ccc(OC)cc1,6.17
CHEMBL232121,362.5,0,3.52,NC(=O)[C@@H](N)CSC(c1ccccc1)(c1ccccc1)c1ccccc1,5.51
CHEMBL377566,386.45,0,3.69,CN(C)C(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN)c1ccccc1,8.72
CHEMBL247044,381.5,0,4.18,CC(=O)C1=NN(c2cc(C)ccc2F)C[C@@]1(CCCN(C)C)c1ccccc1,9.7
CHEMBL250125,478.57,0,3.23,CC(=O)C1=NN2c3cc(F)ccc3OC[C@H]2[C@@]1(CCCN1CCN(C(C)=O)CC1)c1ccccc1,8.8
CHEMBL1829408,502.68,2,5.57,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C(C)C)cc1,6.03
CHEMBL1829268,452.62,0,4.33,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)C1CCCC1,5.38
CHEMBL206258,356.42,0,3.04,COc1ccc2c(c1OC)CN(C(=O)N(C)C)CC2c1cccc(O)c1,4.89
CHEMBL375929,380.56,0,4.33,CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2c1CCSC2,5.48
CHEMBL1078998,327.49,1,5.68,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccs1)N2,7.6
CHEMBL2043417,369.48,1,5.14,NCCSC(Cc1ccccc1)(c1ccc(F)cc1)c1ccc(F)cc1,6.23
CHEMBL1672291,527,1,3.3,CC1=C(C(=O)OC(C)C)C(c2ccc(Cl)cc2)n2c(s/c(=C\c3ccc(OCC(=O)O)cc3)c2=O)=N1,5.34
CHEMBL4242214,482.59,0,4,COc1ccc(/C=C2\SC(NC3=NN(C(C)=O)C(C)(c4ccccc4)S3)=NC2=O)cc1OC,4.22
CHEMBL1828638,474.63,0,4.76,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1cccc(C)c1,7.05
CHEMBL1829403,528.6,2,5.47,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1cccc(C(F)(F)F)c1,6.51
CHEMBL1829260,500.67,2,5.16,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(C(=O)c1ccc(C)cc1)C1CCNCC1,5.97
CHEMBL559207,501.06,0,4.93,CCNCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl,5.18
CHEMBL195274,306.34,0,3.72,CC(=O)N1N=C(c2cc(F)ccc2F)CC1c1cccs1,5.75
CHEMBL399251,363.48,0,4.12,N[C@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,6
CHEMBL228815,300.31,0,3.66,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@H]1c1ccccc1,7.58
CHEMBL206798,374.39,0,3.15,CN(CCO)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,8.4
CHEMBL208145,237.35,0,3.54,Cc1ccc2c(c1C)CNCC2c1ccccc1,5.08
CHEMBL3087423,536.8,2,6.75,COc1ccc(-c2coc3cc(Oc4c([N+](=O)[O-])cc(C(F)(F)F)c(Cl)c4[N+](=O)[O-])ccc3c2=O)cc1,6.8
CHEMBL207292,379.55,0,4.25,Cc1ccc2c(c1C)CN(C(=O)N(C)CCCN(C)C)CC2c1ccccc1,5.26
CHEMBL205863,308.47,0,3.99,Cc1ccc2c(c1C)CN(CCCCN)CC2c1ccccc1,5.33
CHEMBL1802987,236.2,0,3.73,FC(F)(F)c1ccc2c(c1)[nH]c1ccncc12,7.02
CHEMBL392369,393.51,0,4.13,COc1ccc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)cc1,6.78
CHEMBL378547,357.4,0,4.68,CC(C)(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,7.89
CHEMBL3087415,488.33,1,5.79,O=c1cc(-c2ccccc2)oc2cc(Oc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3C(F)(F)F)cc(O)c12,6.91
CHEMBL491384,338.43,0,3.41,CC1=C(C(=O)c2ccccc2)[C@H](c2cccc(O)c2)NC(=S)N1C,6.82
CHEMBL51483,518.56,3,6.38,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,4.6
CHEMBL252141,265.36,0,3.2,CN1Cc2c(ccc3c2CCO3)[C@@H](c2ccccc2)C1,5.01
CHEMBL252140,511.11,1,5.32,CCS(=O)(=O)O.OC1CC2CCC(C1)N2CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.25
CHEMBL195760,298.77,0,4.04,CC(=O)N1N=C(c2ccccc2Cl)CC1c1ccccc1,5.44
CHEMBL381599,280.42,0,3.21,Cc1ccc2c(c1C)CN(CCN)CC2c1ccccc1,5.64
CHEMBL3087429,740.43,3,8.35,O=C1CC(c2ccc(Oc3c([N+](=O)[O-])cc(C(F)(F)F)cc3[N+](=O)[O-])cc2)Oc2cc(Oc3c([N+](=O)[O-])cc(C(F)(F)F)cc3[N+](=O)[O-])cc(O)c21,7.23
CHEMBL389589,334.29,0,3.13,NS(=O)(=O)Nc1ccc(-c2ccc(C(F)(F)F)c(F)c2)cc1,7.7
CHEMBL557683,477.57,0,3.79,NC(=O)c1ccc2c(c1)nc(Nc1ccc(S(N)(=O)=O)cc1)n2Cc1csc2ccccc12,5.68
CHEMBL1084116,361.94,1,6.33,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(Cl)s1)N2,6.52
CHEMBL2031569,465.6,0,4.33,COc1ccc(N2C(=O)C(CC(=O)Nc3ccccc3)N(CCc3cccs3)C2=S)cc1,6
CHEMBL1829433,503.67,1,4.71,Cc1ccc(C(=O)N(CCCN)C(c2nc3snc(C)c3c(=O)n2Cc2ccccc2)C(C)C)cc1,6.37
CHEMBL469952,268.21,0,4.32,O=Cc1ccc(-c2ccc(C(F)(F)F)c(F)c2)cc1,5.83
CHEMBL1688921,391.54,0,4.69,CCc1ccc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)cc1,7.26
CHEMBL1163677,392.33,0,3.82,Cl.NCCCN1CCc2c([nH]c3ccc(Cl)cc23)C1c1cccc(O)c1,6.69
CHEMBL1163584,397.48,0,4.55,Cc1ccc2[nH]c3c(c2c1)CCN(C(=O)c1ccc(N)cc1)C3c1cccc(O)c1,7.3
CHEMBL438436,497.64,0,4.45,CCC(c1nn2cccc2c(=O)n1Cc1ccccc1)N(CC1CCNCC1)C(=O)c1ccc(C)cc1,5.22
CHEMBL1277017,350.38,0,3.48,COc1ccc(NC(=O)C2=C(C)Nc3n[nH]cc3C2c2ccco2)cc1,8.96
CHEMBL3087426,738.42,3,8.42,O=c1c(-c2ccc(Oc3c([N+](=O)[O-])cc(C(F)(F)F)cc3[N+](=O)[O-])cc2)coc2cc(Oc3c([N+](=O)[O-])cc(C(F)(F)F)cc3[N+](=O)[O-])cc(O)c12,7.17
CHEMBL380294,504.03,1,4.45,Cc1ccc(C(=O)N(CCCN)C(c2nn3ccc(Cl)c3c(=O)n2Cc2ccccc2)C2CC2)cc1,7
CHEMBL202788,458.51,0,4.06,CC(C)(C)[C@H](NC(=O)OCCO)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,8.13
CHEMBL242993,222.21,0,4.37,FC(F)(F)c1ccc(-c2ccccc2)cc1,5.27
CHEMBL1818760,337.42,0,3.8,CC1Nc2ccc(N3CCCCC3)cc2C(=O)N1c1ccc(O)cc1,5.47
CHEMBL1818762,339.4,0,2.65,CC1Nc2ccc(N3CCOCC3)cc2C(=O)N1c1ccc(O)cc1,5.98
CHEMBL1818773,399.49,0,4.63,O=C1c2cc(N3CCCC3)ccc2NC(Cc2ccccc2)N1c1cccc(O)c1,7.31
CHEMBL236694,272.74,0,3.34,CN(C)c1ccc(-c2nc3cc(Cl)cnc3[nH]2)cc1,4.4
CHEMBL1277383,422.85,1,5.35,CC1=C(C(=O)Nc2ccc(F)c(Cl)c2)C(c2ccco2)n2c(nc3ccccc32)N1,6.02
CHEMBL3356912,361.51,0,3.91,CC(C)CC(=O)NC1=NN(C(=O)CC(C)C)C(C)(c2ccccc2)S1,6.28
CHEMBL3319302,468.65,0,2.83,CC(C)(C)C(=O)NC1=NN(C(=O)C(C)(C)C)C(CCNS(C)(=O)=O)(c2ccccc2)S1,6.92
CHEMBL1163678,378.3,0,3.43,Cl.NCCN1CCc2c([nH]c3ccc(Cl)cc23)C1c1cccc(O)c1,8.15
CHEMBL1163163,357.89,0,3.09,Cc1ccc2[nH]c3c(c2c1)CCN(CCN)C3c1cccc(O)c1.Cl,6.62
CHEMBL1096347,321.46,1,5.62,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1C(c1ccccc1)N2,6.52
CHEMBL1163890,312.8,0,4.1,CN1CCc2c([nH]c3ccc(Cl)cc23)C1c1cccc(O)c1,6.18
CHEMBL1164257,378.43,0,3.3,CCOC(=O)C1Cc2c([nH]c3ccccc23)C(c2cccc(O)c2)N1C(C)=O,6.14
CHEMBL1163742,292.38,0,3.76,Cc1ccc2[nH]c3c(c2c1)CCN(C)C3c1cccc(O)c1,6.33
CHEMBL1164476,417.9,0,4.9,Nc1ccc(C(=O)N2CCc3c([nH]c4ccc(Cl)cc34)C2c2cccc(O)c2)cc1,7.12
CHEMBL1165484,406.48,0,3.94,CCOC(=O)C1Cc2c([nH]c3ccccc23)C(c2cccc(O)c2)N1C(=O)C(C)C,6.42
CHEMBL2043406,349.5,0,4.57,NCCSC(Cc1ccccc1)(c1ccccc1)c1cccc(O)c1,6.59
CHEMBL1829258,488.66,1,5.15,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCCN)C(=O)c1ccc(C)cc1,6.41
CHEMBL1829398,495.05,1,5.1,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccccc1Cl,6.21
CHEMBL395487,331.32,0,2.57,Nc1cc(-c2ccc(NS(N)(=O)=O)cc2)ccc1C(F)(F)F,6.78
CHEMBL243906,379.38,0,3.02,CS(=O)(=O)Nc1ccc(-c2ccc(S(=O)(=O)C(F)(F)F)cc2)cc1,6.75
CHEMBL243431,331.32,0,2.57,Nc1cc(-c2ccc(C(F)(F)F)cc2)ccc1NS(N)(=O)=O,7.62
CHEMBL244078,330.33,0,3.01,CN(c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)S(N)(=O)=O,5.85
CHEMBL395332,385.46,0,3.98,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@]1(CCCN)c1ccccc1,7.64
CHEMBL370498,333.22,0,4.69,CC(=O)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1,4.42
CHEMBL370956,356.85,0,4.77,CC(C)(C)C(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1,6.34
CHEMBL210168,512.44,1,4.79,CCC(c1nn2ccc(Cl)c2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(Cl)cc1,6.72
CHEMBL194980,316.38,0,4.46,CC(=S)N1N=C(c2cc(F)ccc2F)CC1c1ccccc1,6.6
CHEMBL364452,314.77,0,3.74,CC(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1,6.35
CHEMBL242357,330.33,0,3.3,Cc1cc(-c2ccc(C(F)(F)F)cc2)ccc1NS(N)(=O)=O,6.85
CHEMBL195274,306.34,0,3.72,CC(=O)N1N=C(c2cc(F)ccc2F)CC1c1cccs1,5.75
CHEMBL365553,336.36,0,3.08,CS(=O)(=O)N1N=C(c2cc(F)ccc2F)CC1c1ccccc1,5.75
CHEMBL3319301,454.62,0,2.44,CC(C)(C)C(=O)NC1=NN(C(=O)C(C)(C)C)C(CNS(C)(=O)=O)(c2ccccc2)S1,7.36
CHEMBL3319304,454.62,0,2.44,CC(C)C(=O)N1N=C(NC(=O)C(C)(C)C)SC1(CCNS(C)(=O)=O)c1ccccc1,6.96
CHEMBL2347653,389.41,0,3.61,O=C(c1ccc(O)cc1)N1CCc2cc3c(cc2C1c1cccc(O)c1)OCO3,7.4
CHEMBL491384,338.43,0,3.41,CC1=C(C(=O)c2ccccc2)[C@H](c2cccc(O)c2)NC(=S)N1C,6.28
CHEMBL2347651,613.18,2,5.59,CS(=O)(=O)O.Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,8.92
CHEMBL228962,348.54,0,4.78,CCN(CC)C(=O)c1c(NCc2cccs2)sc2c1CCCC2,4.7
CHEMBL194147,342.83,0,4.38,CC(C)C(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1,5.96
